Title,Price,Description,Reviews,Link
Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",N/A,https://webscraper.io/test-sites/e-commerce/static/product/31
Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/32
ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",N/A,https://webscraper.io/test-sites/e-commerce/static/product/33
ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",N/A,https://webscraper.io/test-sites/e-commerce/static/product/34
ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",N/A,https://webscraper.io/test-sites/e-commerce/static/product/35
Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",N/A,https://webscraper.io/test-sites/e-commerce/static/product/36
ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",N/A,https://webscraper.io/test-sites/e-commerce/static/product/37
Pavilion,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",N/A,https://webscraper.io/test-sites/e-commerce/static/product/38
Inspiron 15,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",N/A,https://webscraper.io/test-sites/e-commerce/static/product/39
Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",N/A,https://webscraper.io/test-sites/e-commerce/static/product/40
ThinkPad X230,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",N/A,https://webscraper.io/test-sites/e-commerce/static/product/41
HP 250 G3,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",N/A,https://webscraper.io/test-sites/e-commerce/static/product/42
ThinkPad Yoga,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",N/A,https://webscraper.io/test-sites/e-commerce/static/product/43
HP 350 G1,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",N/A,https://webscraper.io/test-sites/e-commerce/static/product/44
Asus VivoBook...,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/45
Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/46
Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/47
Acer Aspire A5...,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",N/A,https://webscraper.io/test-sites/e-commerce/static/product/48
Dell Inspiron...,$679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/49
Asus VivoBook...,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/50
Asus ROG STRIX...,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",N/A,https://webscraper.io/test-sites/e-commerce/static/product/51
Acer Nitro 5 A...,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/52
Asus ROG STRIX...,$899,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/53
Lenovo ThinkPa...,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/54
Lenovo Legion...,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",N/A,https://webscraper.io/test-sites/e-commerce/static/product/55
Lenovo Legion...,$1399,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",N/A,https://webscraper.io/test-sites/e-commerce/static/product/56
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/57
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/58
Asus ROG Strix...,$1799,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/59
Asus VivoBook...,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/60
Prestigio Smar...,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",N/A,https://webscraper.io/test-sites/e-commerce/static/product/61
Prestigio Smar...,$299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",N/A,https://webscraper.io/test-sites/e-commerce/static/product/62
Lenovo V110-15...,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/63
Lenovo V110-15...,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/64
Hewlett Packar...,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",N/A,https://webscraper.io/test-sites/e-commerce/static/product/65
Acer Aspire 3...,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/66
Acer Aspire A3...,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",N/A,https://webscraper.io/test-sites/e-commerce/static/product/67
Acer Aspire ES...,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/68
Acer Aspire 3...,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/69
Acer Aspire 3...,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/70
Asus VivoBook...,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/71
Lenovo ThinkPa...,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/72
Acer Aspire 3...,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/73
Lenovo V110-15...,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/74
Acer Aspire ES...,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/75
Asus VivoBook...,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/76
Asus EeeBook R...,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/77
Acer Aspire 3...,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/78
Acer Aspire ES...,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/79
Acer Extensa 1...,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/80
Acer Aspire ES...,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/81
Lenovo V110-15...,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/82
Acer Aspire A3...,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",N/A,https://webscraper.io/test-sites/e-commerce/static/product/83
Lenovo V110-15...,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",N/A,https://webscraper.io/test-sites/e-commerce/static/product/84
Asus VivoBook...,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/85
Acer Aspire ES...,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/86
Lenovo V510 Bl...,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/87
Acer Aspire ES...,$485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/88
Lenovo V510 Bl...,$487.8,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/89
Acer Swift 1 S...,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/90
Acer Aspire 3...,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/91
Dell Vostro 15...,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/92
Lenovo V510 Bl...,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/93
Lenovo ThinkPa...,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/94
Dell Inspiron...,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/95
MSI GL72M 7RDX,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/96
MSI GL72M 7RDX,$1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/97
Asus ROG Strix...,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",N/A,https://webscraper.io/test-sites/e-commerce/static/product/98
Dell Latitude...,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/99
Dell Latitude...,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/100
Lenovo Legion...,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/101
Toshiba Porteg...,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/102
Acer Predator...,$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/103
Acer Aspire 7...,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/104
Dell Inspiron...,$1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/105
Dell Latitude...,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/106
Lenovo Legion...,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/107
Asus AsusPro A...,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",N/A,https://webscraper.io/test-sites/e-commerce/static/product/108
Acer Nitro 5 A...,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/109
Dell Latitude...,$1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/110
Dell Inspiron...,$1144.2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/111
Dell Latitude...,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/112
MSI GP62M 7RDX...,$1149,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/113
Lenovo Yoga 72...,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/114
Toshiba Porteg...,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/115
Acer TravelMat...,$1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/116
Dell Latitude...,$1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/117
MSI GS63 7RD S...,$1179,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/118
Dell Latitude...,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/119
Acer Predator...,$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/120
MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/121
MSI GL62M 7REX...,$1199,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/122
Lenovo Yoga 91...,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/123
Toshiba Porteg...,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/124
Lenovo IdeaPad...,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/125
Acer Predator...,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/126
Asus VivoBook...,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/127
Dell Latitude...,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/128
Asus ZenBook U...,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/129
Asus ROG Strix...,$1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/130
Apple MacBook...,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",N/A,https://webscraper.io/test-sites/e-commerce/static/product/131
Dell Latitude...,$1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/132
Hewlett Packar...,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/133
Toshiba Porteg...,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/134
MSI GL62VR 7RF...,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/135
Dell Latitude...,$1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/136
Hewlett Packar...,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/137
Apple MacBook...,$1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",N/A,https://webscraper.io/test-sites/e-commerce/static/product/138
Dell Latitude...,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/139
Dell Latitude...,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",N/A,https://webscraper.io/test-sites/e-commerce/static/product/140
Dell Latitude...,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",N/A,https://webscraper.io/test-sites/e-commerce/static/product/141
Apple MacBook...,$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",N/A,https://webscraper.io/test-sites/e-commerce/static/product/142
Lenovo ThinkPa...,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/143
Lenovo ThinkPa...,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/144
Toshiba Porteg...,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",N/A,https://webscraper.io/test-sites/e-commerce/static/product/145
Asus ASUSPRO B...,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/146
Asus ROG Strix...,$1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",N/A,https://webscraper.io/test-sites/e-commerce/static/product/147
